"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"UNION","90","10","All and Rural","","4/1/2016","6/30/2026","10.25","150"
"Road Name","Road Code"
"SR 1001","40001001"
"SR 1617","40001617"
"SIKES MILL","50028131"
"TOM BOYD","50043323"
"SR 1619","40001619"
"SR 1606","40001606"
"LOVE MILL","50018268"
"08/18/2026","Page 1 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","SR 1001","0.400","N","SR 1664","SR 1152","SR 1001","10.045","","106674471","2021-07-21","19","1","0","1","B"
"0","LOVE MILL","0.660","N","SANTA CLAUS","TITE","SR 1001","10.305","","108507895","2026-05-25","19","2","0","1","C"
"0","SR 1001","0.100","S","CL-STANLY","SR 1664","SR 1001","10.376","","104947533","2016-12-14","19","2","0","5","B"
"245","SR 1001","0.200","S","SR 1004","SR 2492","SR 1001","999.999","","104794097","2016-07-15","1","1","0","1","O"
"558","SR 1001","1.500","N","SR 1367","SR 1606","SR 1001","999.999","","104852366","2016-09-14","29","1","0","5","O"
"0","SR 1001","0.200","S","SR 1508","SR 1503","SR 1001","999.999","","105717397","2018-12-17","21","1","0","1","O"
"0","SR 1001","1.000","E","SR 1524","SR 1007","SR 1001","999.999","","107177955","2022-12-10","21","1","0","1","O"
"558","SR 1001","0.000","","SR 1547","SR 1655","SR 1001","999.999","","105273256","2017-10-27","24","1","7","1","C"
"0","SR 1001","0.200","N","SR 1547","SR 1607","SR 1001","999.999","","108343169","2025-12-11","29","1","0","5","O"
"0","SR 1001","0.000","","SR 1604","SR 1547","SR 1001","999.999","","104914991","2016-11-13","17","1","0","1","O"
"0","SR 1001","0.000","","SR 1607","SR 1604","SR 1001","999.999","","108506936","2026-05-19","24","1","8","1","O"
"558","SR 1001","0.100","S","SR 1610","SR 1601","SR 1001","999.999","","104726807","2016-05-08","23","1","5","5","A"
"0","SR 1001","0.100","S","SR 1610","SR 1655","SR 1001","999.999","","106078976","2019-11-30","17","1","0","5","O"
"558","SR 1001","0.200","S","SR 1610","SR 1654","SR 1001","999.999","","105363575","2018-01-24","29","1","0","5","O"
"0","SR 1001","0.057","S","SR 1611","SR 1615","SR 1001","999.999","","106496450","2021-02-22","17","1","0","1","O"
"558","SR 1001","0.100","N","SR 1628","SR 1631","SR 1001","999.999","","105062524","2017-04-03","30","2","0","1","C"
"558","SR 1001","0.200","N","SR 1678","SR 1676","SR 1001","999.999","","105623790","2018-09-27","26","1","0","1","O"
"558","SR 1001","0.300","N","SR 1678","SR 1615","SR 1001","999.999","","104835188","2016-08-31","29","1","0","1","O"
"558","SR 1001","0.300","S","SR 1678","SR 1618","SR 1001","999.999","","106458989","2020-12-23","19","1","0","1","O"
"558","SR 1001","0.200","N","SR 1688","SR 1674","SR 1001","999.999","","105820903","2019-04-02","19","4","0","1","O"
"0","SR 1001","0.150","W","SR 1753","SR 1754","SR 1001","999.999","","105518601","2018-06-16","19","1","0","1","O"
"0","SR 1001","0.100","E","ZEPHYR","SR 1794","SR 1001","999.999","","106364269","2020-10-08","29","1","0","1","O"
"0","SR 1006","0.000","","SR 1606","SR 2188","SR 1006","999.999","","107569594","2023-12-18","24","1","8","1","B"
"08/18/2026","Page 15 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","SR 1547","0.000","","SR 1606","US 601","SR 1547","2.101","","107547852","2023-11-28","30","1","7","1","B"
"0","SR 1547","0.000","","SR 1606","SR 1607","SR 1547","2.101","","106800779","2021-12-11","30","1","7","1","C"
"637","SR 1547","0.000","","SR 1606","SR 1607","SR 1547","2.101","","105954257","2019-08-08","30","1","7","1","B"
"637","SR 1604","0.000","","SR 1606","CL-STANLY","SR 1604","0.000","","107178464","2022-11-30","24","2","8","5","C"
"558","SR 1604","0.000","","SR 1606","SR 1666","SR 1604","0.000","","105337660","2017-12-20","3","2","8","5","O"
"637","SR 1606","1.500","N","SR 1547","SR 1607","SR 1606","0.087","","105318190","2017-12-09","18","2","0","1","O"
"0","SR 1606","0.100","N","SR 1604","CL-STANLY","SR 1606","0.105","","107999824","2025-01-21","19","5","0","5","O"
"637","SR 1606","0.100","S","SR 1604","CL-STANLY","SR 1606","0.305","","106248459","2020-06-11","17","1","0","5","O"
"637","SR 1606","0.760","N","SR 1607","SR 1604","SR 1606","0.324","","107977960","2025-01-01","17","1","0","5","O"
"0","SR 1606","0.300","N","SR 1607","SR 1604","SR 1606","0.784","","108416489","2026-02-27","19","1","0","5","O"
"0","SR 1606","5.000","N","SR 1678","SR 1613","SR 1606","0.796","","105613443","2018-09-24","22","1","5","5","C"
"637","SR 1606","0.095","N","SR 1607","SR 1604","SR 1606","0.989","","107325118","2023-05-04","17","1","0","5","O"
"0","SR 1606","0.000","","SR 1607","SR 1547","SR 1606","1.084","","107591326","2024-01-10","24","1","7","1","C"
"0","SR 1606","0.000","","SR 1607","CL-STANLY","SR 1606","1.084","","105199689","2017-08-21","26","1","7","1","O"
"0","SR 1606","0.100","S","SR 1607","SR 1605","SR 1606","1.184","","107119047","2022-10-22","17","1","0","5","O"
"637","SR 1606","0.100","S","SR 1607","SR 1547","SR 1606","1.184","","106121140","2020-01-10","19","1","0","1",""
"637","SR 1606","0.200","N","SR 1547","SR 1607","SR 1606","1.387","","107731025","2024-05-25","29","1","0","5","O"
"637","SR 1606","0.180","N","SR 1547","SR 1607","SR 1606","1.407","","108377689","2026-01-09","19","1","5","5","K"
"0","SR 1606","0.100","N","SR 1547","SR 1607","SR 1606","1.487","","108244970","2025-09-26","21","2","5","1","O"
"637","SR 1606","0.100","N","SR 1547","NC 218","SR 1606","1.487","","108318481","2025-11-05","18","1","0","1","O"
"0","SR 1606","1.300","S","SR 1604","SR 1605","SR 1606","1.505","","106134680","2020-01-22","29","1","0","1","O"
"0","SR 1606","0.000","","SR 1547","NC 218","SR 1606","1.587","","107707929","2024-05-03","30","1","7","1","C"
"637","SR 1606","0.000","","SR 1547","SR 1607","SR 1606","1.587","","107892491","2024-10-19","30","1","7","1","O"
"637","SR 1606","0.000","","SR 1547","SR 1607","SR 1606","1.587","","107737177","2024-05-29","30","1","7","5","O"
"0","SR 1606","0.000","","SR 1547","SR 1607","SR 1606","1.587","","107659363","2024-03-18","30","1","7","1","O"
"637","SR 1606","0.000","","SR 1547","SR 1607","SR 1606","1.587","","107313774","2023-04-11","30","1","7","1","O"
"0","SR 1606","0.000","","SR 1547","SR 1607","SR 1606","1.587","","107089024","2022-09-22","30","1","7","1","B"
"637","SR 1606","0.000","","SR 1547","NC 218","SR 1606","1.587","","106990488","2022-06-16","30","1","7","1","O"
"637","SR 1606","0.000","","SR 1547","SR 1607","SR 1606","1.587","","107059898","2022-08-29","30","1","7","3","O"
"0","SR 1606","0.000","","SR 1547","SR 1607","SR 1606","1.587","","106277793","2020-07-14","30","1","7","1","C"
"0","SR 1606","0.000","","SR 1547","NC 218","SR 1606","1.587","","105873568","2019-05-18","30","1","7","1","O"
"637","SR 1606","0.000","","SR 1547","NC 218","SR 1606","1.587","","105289308","2017-11-11","30","1","7","1","B"
"08/18/2026","Page 16 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","SR 1606","0.000","","SR 1547","SR 1607","SR 1606","1.587","","107960659","2024-12-15","30","1","7","5","C"
"637","SR 1606","0.000","","SR 1547","NC 218","SR 1606","1.587","","107701512","2024-04-27","30","1","8","1","O"
"637","SR 1606","0.100","S","SR 1547","NC 218","SR 1606","1.687","","106095719","2019-12-09","17","1","0","3","O"
"637","SR 1606","0.200","S","SR 1547","NC 218","SR 1606","1.787","","105043332","2017-03-16","29","1","0","1","O"
"0","SR 1606","0.200","S","SR 1547","SR 1607","SR 1606","1.787","","104980363","2017-01-18","29","1","0","1","A"
"650","SR 1606","1.000","N","NC 218","SR 1547","SR 1606","1.941","","106491238","2021-02-16","17","2","0","1","O"
"637","SR 1606","0.800","N","NC 218","SR 1547","SR 1606","2.141","","107927512","2024-11-18","17","1","0","5","O"
"0","SR 1606","0.800","N","NC 218","SR 1547","SR 1606","2.141","","105380811","2018-02-01","28","1","0","5","O"
"0","SR 1606","0.600","S","SR 1547","NC 218","SR 1606","2.187","","107283618","2023-03-25","19","2","0","1","O"
"637","SR 1606","1.000","S","SR 1547","NC 218","SR 1606","2.587","","105685863","2018-11-21","17","1","0","1","O"
"0","SR 1606","0.100","N","NC 218","SR 1547","SR 1606","2.841","","105201844","2017-08-22","29","1","0","1","O"
"637","SR 1606","0.004","N","NC 218","SR 1547","SR 1606","2.937","","104726358","2016-05-07","19","1","0","5","C"
"637","SR 1606","0.000","","NC 218","*LCL OLD FISH RD ","SR 1606","2.941","","108248400","2025-09-24","28","1","10","1","O"
"0","SR 1606","0.000","","NC 218","SR 1610","SR 1606","2.941","","106157650","2020-02-13","21","1","8","5","C"
"637","SR 1606","0.000","","NC 218","SR 1609","SR 1606","2.941","","105168368","2017-07-21","30","1","7","1","O"
"637","SR 1606","0.006","S","NC 218","SR 1610","SR 1606","2.947","","107743765","2024-06-05","29","2","7","1","O"
"637","SR 1606","0.000","","SR 1610","NC 218","SR 1606","3.158","","108370708","2026-01-13","25","1","0","1","O"
"0","SR 1606","0.040","N","SR 1654","SR 1610","SR 1606","3.539","","107733744","2024-05-27","19","1","0","1","O"
"558","SR 1606","0.100","S","SR 1654","SR 1675","SR 1606","3.679","","105220541","2017-09-11","19","2","0","5","O"
"0","SR 1606","0.000","","SR 1675","SR 1611","SR 1606","3.821","","106117532","2020-01-05","24","1","8","1","C"
"558","SR 1606","0.002","S","SR 1611","SR 1615","SR 1606","4.011","","104963318","2016-12-27","21","1","8","1","A"
"558","SR 1606","0.200","SW","SR 1611","SR 1615","SR 1606","4.209","","106998073","2022-06-25","19","1","0","1","B"
"558","SR 1606","0.210","S","SR 1611","SR 1615","SR 1606","4.219","","107562167","2023-12-13","29","1","0","5","O"
"558","SR 1606","0.250","S","SR 1611","SR 1615","SR 1606","4.259","","108527675","2026-06-11","21","1","0","1","C"
"0","SR 1606","2.700","S","SR 1547","NC 218","SR 1606","4.287","","106169959","2020-02-25","17","1","0","5","O"
"558","SR 1606","0.009","N","SR 1615","SR 1611","SR 1606","4.582","","105132992","2017-06-11","17","1","0","5","O"
"558","SR 1606","0.250","N","SR 1638","SR 1615","SR 1606","4.766","","106462109","2021-01-12","19","1","0","1","O"
"558","SR 1606","0.400","S","SR 1615","SR 1678","SR 1606","4.991","","106958785","2022-05-16","21","1","8","1","C"
"0","SR 1606","0.800","N","SR 1678","SR 1615","SR 1606","4.996","","107584544","2024-01-03","17","2","0","5","O"
"558","SR 1606","0.000","","SR 1638","SR 1678","SR 1606","5.016","","105600736","2018-09-10","19","2","8","1","C"
"558","SR 1606","0.000","S","SR 1638","SR 1678","SR 1606","5.016","","105805384","2019-03-05","23","1","0","1","O"
"558","SR 1606","0.079","S","SR 1638","SR 1678","SR 1606","5.095","","107321031","2023-04-20","22","1","0","1","K"
"08/18/2026","Page 17 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","SR 1606","0.600","N","SR 1678","SR 1638","SR 1606","5.196","","106432490","2020-12-09","17","1","0","5","O"
"558","SR 1606","0.200","S","SR 1638","SR 1618","SR 1606","5.216","","107149014","2022-11-12","17","1","0","1","O"
"558","SR 1606","0.300","S","SR 1638","SR 1001","SR 1606","5.316","","108460445","2026-04-08","23","1","5","1","O"
"558","SR 1606","0.400","S","SR 1638","SR 1001","SR 1606","5.416","","107082969","2022-09-16","27","1","0","1","A"
"0","SR 1606","0.200","N","SR 1678","SR 1638","SR 1606","5.596","","107360456","2023-06-06","29","1","0","1","O"
"558","SR 1606","0.076","N","SR 1688","SR 1638","SR 1606","5.652","","108134261","2025-06-06","19","1","0","5","B"
"558","SR 1606","0.000","","SR 1688","SR 1618","SR 1606","5.728","","107281872","2023-03-23","23","1","0","1","O"
"558","SR 1606","0.010","S","SR 1688","SR 1678","SR 1606","5.738","","107112659","2022-10-06","21","1","0","5","A"
"558","SR 1606","0.002","N","SR 1678","SR 1638","SR 1606","5.794","","106109136","2019-12-18","21","1","0","1","O"
"558","SR 1606","0.006","S","SR 1678","SR 1001","SR 1606","5.802","","107611797","2024-01-31","19","1","0","1","O"
"558","SR 1606","0.055","S","SR 1678","SR 1618","SR 1606","5.851","","108466476","2026-04-09","28","1","0","5","C"
"558","SR 1606","0.100","S","SR 1678","SR 1001","SR 1606","5.896","","105783157","2019-02-20","26","2","0","1","O"
"0","SR 1606","0.100","N","SR 1001","SR 1678","SR 1606","5.966","","106017162","2019-10-02","21","1","0","1","B"
"558","SR 1606","0.009","E","SR 1618","SR 1001","SR 1606","6.057","","105225441","2017-09-19","30","1","10","1","O"
"558","SR 1606","0.000","","SR 1001","SR 1678","SR 1606","6.066","","105404553","2018-03-06","30","2","0","1","C"
"558","SR 1606","0.000","","SR 1618","SR 1678","SR 1606","6.066","","107997463","2025-01-18","30","2","10","5","O"
"558","SR 1606","0.000","","SR 1618","SR 1001","SR 1606","6.066","","106871624","2022-02-17","26","1","10","1","O"
"558","SR 1606","0.000","","SR 1618","SR 1619","SR 1606","6.066","","106509401","2021-03-05","26","1","10","5","O"
"558","SR 1606","0.000","","SR 1618","SR 1681","SR 1606","6.066","","106388383","2020-10-30","26","1","10","5","O"
"558","SR 1606","0.000","","SR 1618","SR 1606","SR 1606","6.066","","104942525","2016-12-09","26","1","10","1","C"
"0","SR 1606","0.190","S","SR 1637","SR 1619","SR 1606","6.066","","107028892","2022-07-24","14","1","0","1","A"
"558","SR 1606","0.300","S","SR 1678","SR 1618","SR 1606","6.066","","106581212","2021-05-21","21","1","0","1","C"
"558","SR 1606","0.000","","NC 200","SR 1627","SR 1606","999.999","","106732357","2021-10-17","30","1","7","1","C"
"558","SR 1606","0.002","E","NC 200","SR 1673","SR 1606","999.999","","105391943","2018-02-23","30","1","7","1","O"
"0","SR 1606","0.250","N","NC 200","PRESSON FARM","SR 1606","999.999","","106052165","2019-11-05","17","1","0","5","O"
"558","SR 1606","0.250","NW","NC 200","PRESSON FARM","SR 1606","999.999","","107613194","2024-02-03","23","1","0","1","O"
"558","SR 1606","0.600","W","NC 200","SR 1697","SR 1606","999.999","","108023442","2025-02-16","21","1","0","1","A"
"558","SR 1606","1.500","NW","NC 200","MILL CREEK CHUR","SR 1606","999.999","","107505990","2023-10-27","17","1","0","3","O"
"0","SR 1606","0.000","N","NEW SALEM","G B HILL","SR 1606","999.999","","105775814","2019-02-13","30","1","7","1","O"
"0","SR 1606","0.200","N","SR 1006","SR 1001","SR 1606","999.999","","105161843","2017-07-13","29","1","0","1","O"
"0","SR 1606","0.300","N","SR 1006","SR 1627","SR 1606","999.999","","108052545","2025-03-18","19","1","0","5","C"
"0","SR 1606","0.500","N","SR 1006","SR 1627","SR 1606","999.999","","104914987","2016-11-12","19","1","0","5","A"
"08/18/2026","Page 18 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","SR 1606","1.200","N","SR 1006","SR 1627","SR 1606","999.999","","106782341","2021-11-26","17","1","0","5","O"
"0","SR 1606","3.000","N","SR 1006","SR 1627","SR 1606","999.999","","105850446","2019-04-29","19","1","0","3","A"
"637","SR 1606","0.100","SW","SR 1507","NC 218","SR 1606","999.999","","107737133","2024-05-30","29","1","0","1","O"
"558","SR 1606","0.200","S","SR 1605","SR 1638","SR 1606","999.999","","104772437","2016-06-22","17","1","0","5","O"
"558","SR 1606","0.000","","SR 1606","","SR 1606","999.999","","104720551","2016-05-01","30","1","7","1","O"
"0","SR 1606","0.100","S","SR 1617","SR 1634","SR 1606","999.999","","104922359","2016-11-17","17","1","0","5","O"
"0","SR 1606","0.800","S","SR 1617","SR 1615","SR 1606","999.999","","105825314","2019-04-02","19","6","0","1","B"
"0","SR 1606","0.080","N","SR 1619","SR 1001","SR 1606","999.999","","106276502","2020-07-14","17","1","0","5","O"
"558","SR 1606","0.300","E","SR 1619","NC 200","SR 1606","999.999","","107329736","2023-05-07","19","1","0","5","A"
"0","SR 1606","0.500","S","SR 1619","PRESSON FARM","SR 1606","999.999","","105685420","2018-11-20","17","1","0","2","O"
"558","SR 1606","0.600","W","SR 1619","SR 1637","SR 1606","999.999","","106249008","2020-06-11","19","2","0","1","O"
"0","SR 1606","0.000","","SR 1627","NC 200","SR 1606","999.999","","107696630","2024-04-17","30","1","7","1","B"
"0","SR 1606","0.500","W","SR 1627","NC 200","SR 1606","999.999","","104877259","2016-10-12","29","1","0","1","O"
"558","SR 1606","0.200","S","SR 1691","NC 200","SR 1606","999.999","","108320401","2025-11-20","23","1","0","1","O"
"558","SR 1606","0.300","E","SR 1697","NC 200","SR 1606","999.999","","107647374","2024-03-07","19","1","0","1","O"
"0","SR 1606","0.000","","SR 2785","SR 1006","SR 1606","999.999","","105844523","2019-04-26","19","1","8","5","O"
"558","SR 1611","0.006","W","SR 1606","SR 1640","SR 1611","3.361","","105387651","2018-02-18","18","1","0","1","O"
"558","SR 1611","0.019","SW","SR 1001","SR 1640","SR 1611","999.999","","104711866","2016-04-24","17","1","","5","O"
"558","SR 1615","0.020","S","SR 1617","SR 1001","SR 1615","2.204","","107082068","2022-09-08","19","2","0","5","B"
"558","SR 1615","0.000","","SR 1001","SR 1619","SR 1615","2.890","","107574676","2023-12-23","19","1","8","5","O"
"558","SR 1617","0.100","E","SR 1615","SR 1001","SR 1617","0.100","","106093727","2019-12-12","17","1","0","5","C"
"558","SR 1617","0.100","E","SR 1615","SR 1001","SR 1617","0.100","","105356713","2018-01-19","19","4","0","5","O"
"558","SR 1617","0.200","SE","SR 1615","SR 1001","SR 1617","0.200","","107295872","2023-04-05","17","1","0","5","O"
"558","SR 1617","0.028","W","SR 1001","SR 1615","SR 1617","0.512","","105885258","2019-06-04","29","1","0","1","O"
"558","SR 1617","0.000","","SR 1001","","SR 1617","0.540","","104716467","2016-04-27","30","1","7","1","O"
"558","SR 1618","0.000","E","SR 1001","SR 1637","SR 1618","0.000","","105670638","2018-11-09","26","2","10","5","O"
"558","SR 1618","0.000","","SR 1606","SR 1001","SR 1618","0.000","","106096868","2019-12-12","26","1","10","1","C"
"558","SR 1618","0.008","S","SR 1606","SR 1615","SR 1618","0.000","","105669889","2018-11-07","21","1","10","1","C"
"558","SR 1618","0.006","W","SR 1606","SR 1615","SR 1618","0.006","","106093757","2019-12-12","21","1","10","1","O"
"558","SR 1618","0.014","W","SR 1606","SR 2776","SR 1618","0.014","","105139371","2017-06-12","19","1","10","1","O"
"558","SR 1618","0.019","W","SR 1001","SR 1615","SR 1618","0.019","","105283816","2017-11-07","21","1","0","1","C"
"558","SR 1619","0.000","","SR 1001","SR 1606","SR 1619","0.000","","104898405","2016-10-31","30","1","7","1","C"
"08/18/2026","Page 19 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","SR 1619","0.038","W","SR 1001","UNIONVILLE","SR 1619","0.000","","105669961","2018-11-07","17","2","0","5","O"
"558","SR 1619","0.095","E","SR 1001","SR 1606","SR 1619","0.095","","105344181","2018-01-04","29","1","0","1","O"
"558","SR 1619","0.095","E","SR 1001","SR 1606","SR 1619","0.095","","107771302","2024-06-25","17","1","0","5","O"
"558","SR 1619","0.100","E","SR 1001","SR 1681","SR 1619","0.100","","105517517","2018-06-16","17","1","","5","O"
"558","SR 1619","0.380","E","SR 1001","SR 1681","SR 1619","0.380","","106111340","2019-12-24","23","1","0","1","B"
"558","SR 1619","0.000","","SR 1681","","SR 1619","0.573","","107533157","2023-11-19","19","1","8","1","O"
"558","SR 1619","0.009","E","SR 2116","SR 1681","SR 1619","999.999","","107278206","2023-03-21","29","1","0","1","O"
"558","SR 1627","0.000","","SR 1606","SR 1633","SR 1627","1.256","","106592205","2021-06-02","30","1","7","5","C"
"0","SR 1627","0.000","","SR 1606","NC 200","SR 1627","1.256","","105624868","2018-10-02","30","1","7","1","O"
"558","SR 1627","0.000","","SR 1606","NC 200","SR 1627","1.256","","105331514","2017-12-19","30","1","7","1","A"
"558","SR 1637","0.000","","SR 1001","SR 1606","SR 1637","1.444","","105301886","2017-11-27","28","1","10","5","O"
"558","SR 1638","0.000","","SR 1001","SR 1606","SR 1638","1.556","","106029698","2019-10-14","30","1","7","1","O"
"558","SR 1638","0.000","","SR 1001","SR 1638","SR 1638","1.556","","104762571","2016-06-08","30","1","7","1","O"
"0","SR 1655","0.004","W","SR 1001","SR 1547","SR 1655","1.233","","105896304","2019-06-14","27","1","8","1","O"
"0","SR 1655","0.000","","SR 1001","SR 1656","SR 1655","1.237","","105627177","2018-10-05","19","1","8","1","O"
"0","SR 1656","0.000","","SR 1001","SR 1655","SR 1656","0.000","","107648441","2024-03-08","24","1","8","1","C"
"650","SR 1664","0.000","","SR 1001","SR 1663","SR 1664","0.000","","106462130","2021-01-09","24","1","8","1","C"
"0","SR 1665","0.008","W","SR 1001","SR 2709","SR 1665","0.008","","107374234","2023-06-21","19","2","8","1","C"
"650","SR 1672","0.000","","SR 1001","","SR 1672","999.999","","105067773","2017-04-03","19","1","8","1","O"
"558","SR 1681","0.000","","SR 1619","SR 1637","SR 1681","0.863","","108181659","2025-07-24","23","1","8","1","B"
"0","SR 1681","0.007","N","SR 1617","SR 1612","SR 1681","999.999","","108526710","2026-06-06","21","1","12","1","O"
"558","SR 1688","0.000","","SR 1001","SR 1674","SR 1688","999.999","","108248173","2025-09-22","24","1","8","1","O"
"0","US 601","0.015","S","SR 1001","SR 1504","US 601","17.992","","107931418","2024-10-18","14","1","0","5","K"
"558","US 601","0.000","","SIKES MILL","RIDGE","US 601","18.007","","106925270","2022-04-18","24","1","8","1","O"
"0","US 601","0.000","","SIKES MILL","MAPLE HILL","US 601","18.007","","105212692","2017-08-24","23","1","7","5","C"
"558","US 601","0.000","","SIKES MILL","BAUCOM DEESE","US 601","18.007","","107221390","2023-01-20","24","1","8","1","O"
"558","US 601","0.000","","SR 1001","DEAD END","US 601","18.007","","108401808","2026-02-13","24","1","8","5","O"
"558","US 601","0.000","","SR 1001","SR 1504","US 601","18.007","","108338300","2025-12-09","24","1","8","5","O"
"0","US 601","0.000","","SR 1001","SR 1504","US 601","18.007","","107931666","2024-11-15","24","1","9","5","C"
"558","US 601","0.000","","SR 1001","SR 1505","US 601","18.007","","104721418","2016-04-25","24","1","8","1","O"
"558","US 601","0.000","","SR 1001","SR 1504","US 601","18.007","","105644357","2018-10-16","24","1","8","1","C"
"558","US 601","0.002","N","SR 1001","SR 1505","US 601","18.009","","107708011","2024-05-04","21","2","0","1","O"
"08/18/2026","Page 20 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","US 601","0.009","N","SR 1001","SR 1505","US 601","18.016","","107232412","2023-02-02","21","2","0","1","O"
"271","US 74","0.019","E","SR 1001","TECHNOLOGY","US 74","999.999","","105387411","2018-02-15","28","1","0","5","O"
"Legend:","Muni. Code - Municipality Code
Dir - Direction
MP - Milepost
MA - Milepost Assumption","T - Accident Type
C - Road Condition
F - Roadway Feature
L - Light Condition
S - Accident Severity"
"08/18/2026","Page 21 of 21"
