"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"UNION","90","10","All and Rural","","4/1/2016","6/30/2026","10.25","150"
"Road Name","Road Code"
"SR 1001","40001001"
"SR 1617","40001617"
"SIKES MILL","50028131"
"TOM BOYD","50043323"
"SR 1619","40001619"
"SR 1606","40001606"
"LOVE MILL","50018268"
"08/18/2026","Page 1 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"558","NC 218","0.000","","SR 1606","SR 1547","NC 218","8.082","","105178395","2017-07-29","30","1","7","5","O"
"558","NC 218","0.000","","SR 1606","SR 1111","NC 218","8.082","","104905109","2016-11-06","30","1","7","1","C"
"637","NC 218","0.000","","SR 1606","SR 1657","NC 218","8.082","","104997979","2017-02-01","30","1","7","5","B"
"637","NC 218","0.000","","SR 1606","SR 1609","NC 218","8.082","","104984617","2017-01-23","30","1","7","1","C"
"637","NC 218","0.000","","SR 1606","SR 1547","NC 218","8.082","","104866502","2016-09-30","24","1","7","5","A"
"0","NC 218","0.000","","SR 1606","SR 1001","NC 218","8.082","","104805272","2016-07-30","30","1","7","1","C"
"637","NC 218","0.002","E","SR 1606","SR 1547","NC 218","8.084","","105301818","2017-11-26","21","1","0","5","C"
"08/18/2026","Page 4 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"637","NC 218","0.009","E","SR 1606","SR 1547","NC 218","8.091","","105152445","2017-07-06","21","1","7","1","O"
"637","NC 218","0.010","E","SR 1606","SR 1547","NC 218","8.092","","108326425","2025-11-30","21","2","0","5","O"
"0","NC 218","0.028","W","LOVE MILL","BRIEF","NC 218","9.758","","107144129","2022-11-13","17","1","0","5","O"
"637","NC 218","0.014","W","SR 1001","SR 1609","NC 218","9.772","","105062907","2017-04-03","23","1","0","1","O"
"0","NC 218","0.005","W","SR 1001","SR 1547","NC 218","9.781","","105103445","2017-05-17","23","1","7","1","B"
"637","NC 218","0.004","W","SR 1001","SR 1609","NC 218","9.782","","105067787","2017-04-03","22","2","7","1","O"
"0","NC 218","0.000","","SR 1001","SR 1547","NC 218","9.786","","108267514","2025-10-14","21","1","0","1","O"
"0","NC 218","0.000","","SR 1001","NC 200","NC 218","9.786","","107715702","2024-05-11","30","1","7","1","O"
"0","NC 218","0.000","","SR 1001","SR 1547","NC 218","9.786","","107040279","2022-08-03","30","1","7","1","O"
"0","NC 218","0.000","","SR 1001","SR 1606","NC 218","9.786","","107011232","2022-07-08","28","1","7","1","B"
"0","NC 218","0.000","","SR 1001","SR 1606","NC 218","9.786","","107011234","2022-07-08","30","1","7","1","C"
"0","NC 218","0.000","","SR 1001","NC 200","NC 218","9.786","","106880793","2022-03-05","30","1","7","1","B"
"637","NC 218","0.000","","SR 1001","SR 1610","NC 218","9.786","","107287156","2023-03-28","30","1","7","1","B"
"0","NC 218","0.000","","SR 1001","SR 1639","NC 218","9.786","","106759634","2021-11-05","30","1","7","1","O"
"637","NC 218","0.000","","SR 1001","NC 200","NC 218","9.786","","106655032","2021-08-04","30","1","7","1","O"
"0","NC 218","0.000","","SR 1001","SR 1547","NC 218","9.786","","106554754","2021-04-22","21","1","7","1","C"
"558","NC 218","0.000","","SR 1001","CYRUS LEE","NC 218","9.786","","106521629","2021-03-21","22","1","7","1","B"
"0","NC 218","0.000","","SR 1001","NC 200","NC 218","9.786","","106362077","2020-10-05","30","1","7","1","O"
"0","NC 218","0.000","","SR 1001","NC 200","NC 218","9.786","","106219177","2020-05-01","30","1","7","5","O"
"637","NC 218","0.000","","SR 1001","SR 1547","NC 218","9.786","","106186515","2020-03-16","30","1","7","1","O"
"558","NC 218","0.000","","SR 1001","SR 1547","NC 218","9.786","","106071236","2019-11-20","30","1","7","1","C"
"637","NC 218","0.000","","SR 1001","SR 1547","NC 218","9.786","","106062746","2019-11-15","30","2","7","1","O"
"0","NC 218","0.000","","SR 1001","SR 1547","NC 218","9.786","","105842501","2019-04-20","21","1","7","1","O"
"0","NC 218","0.000","","SR 1001","SR 2732","NC 218","9.786","","105989915","2019-09-11","30","1","7","1","B"
"0","NC 218","0.000","","SR 1001","NC 200","NC 218","9.786","","105711501","2018-12-14","30","2","7","5","B"
"0","NC 218","0.000","","SR 1001","SR 1606","NC 218","9.786","","105644334","2018-10-21","19","1","7","1","O"
"558","NC 218","0.000","","SR 1001","SR 1547","NC 218","9.786","","105502400","2018-06-06","22","1","7","1","O"
"0","NC 218","0.000","","SR 1001","SR 1547","NC 218","9.786","","105452058","2018-04-18","21","1","7","1","O"
"0","NC 218","0.000","","SR 1001","NC 200","NC 218","9.786","","105283709","2017-11-03","28","1","0","1","O"
"650","NC 218","0.000","","SR 1001","SR 1547","NC 218","9.786","","105326336","2017-12-13","21","1","7","1","B"
"558","NC 218","0.000","","SR 1001","NC 200","NC 218","9.786","","105085947","2017-04-20","21","1","7","1","C"
"0","NC 218","0.000","","SR 1001","SR 1547","NC 218","9.786","","105127353","2017-06-08","21","1","7","1","B"
"08/18/2026","Page 5 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"650","NC 218","0.000","","SR 1001","CYRUS LEE","NC 218","9.786","","105125636","2017-06-04","21","1","12","1","O"
"637","NC 218","0.005","E","LOVE MILL","NC 200","NC 218","9.791","","107609800","2024-01-31","21","2","7","1","C"
