"Municipality","On Road","Miles","Dir From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S","Latitude","Longitude","Source"
"FAIRVIEW","SIKES MILL","0.19","N","NC 218","BRIEF","SIKES MILL","999.999","","107132496","2022-11-03","28","1","0","1","O","","",""
"UNIONVILLE","SIKES MILL","0.23","SW","BAUCOM","US 601","SR 1001","1.122","","105934391","2019-07-22","19","1","0","1","O","","",""
"RURAL","SIKES MILL","0.24","S","CHANEY","BAUCOM","SR 1001","1.975","","105178227","2017-07-31","19","1","0","5","O","","",""
"UNIONVILLE","SIKES MILL","0.057","E","BAUCOM","CHANEY","SR 1001","1.409","","106790781","2021-12-03","28","1","0","1","O","","",""
"UNIONVILLE","SIKES MILL","0.19","N","OLD FERRY","*LCL BIGGERS CEMETERY RD ","SIKES MILL","999.999","","106626412","2021-07-09","29","2","0","1","O","","",""
"UNIONVILLE","SR 1001","0.1","S","SR 1638","SR 1674","SR 1001","5.126","","107149319","2022-11-16","17","1","0","5","O","","",""
"NEW SALEM","SR 1001","0.1","N","SR 1663","SR 1664","SR 1001","8.749","","105964117","2019-08-13","19","2","0","1","O","","",""
"UNIONVILLE","SR 1001","0.3","N","NC 218","SR 1547","SR 1001","8.437","","105838344","2019-04-18","17","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.2","S","SR 1610","SR 1654","SR 1001","999.999","","105363575","2018-01-24","29","1","0","5","O","","",""
"UNIONVILLE","SIKES MILL","0.076","N","SPRING LAKE","BAUCOM","SR 1001","0.961","","105442537","2018-04-12","19","1","0","1","O","","",""
"UNIONVILLE","SIKES MILL","0.25","N","BRIARCLIFF","UNIONVILLE","SR 1001","2.775","","106042505","2019-10-16","1","3","0","1","O","","",""
"UNIONVILLE","SIKES MILL","0.0","","TOM BOYD","UNIONVILLE","SR 1001","3.461","","106772984","2021-11-19","30","1","7","1","O","","",""
"RURAL","SR 1001","0.095","S","SR 1654","SR 1675","SR 1001","6.136","","106893722","2022-03-16","17","1","0","1","O","","",""
"RURAL","SR 1001","0.2","S","SR 1508","SR 1503","SR 1001","999.999","","105717397","2018-12-17","21","1","0","1","O","","",""
"RURAL","SR 1001","0.019","N","SR 1656","NC 218","SR 1001","7.298","","105308467","2017-12-03","17","1","8","5","O","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1637","SR 1636","SR 1001","4.11","","105337648","2017-12-19","30","1","10","5","B","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1547","SR 1655","SR 1001","999.999","","105273256","2017-10-27","24","1","7","1","C","","",""
"HEMBY BRIDGE","SR 1001","0.2","S","SR 1004","SR 2492","SR 1001","999.999","","104794097","2016-07-15","1","1","0","1","O","","",""
"UNIONVILLE","SR 1001","0.75","S","SR 1638","SR 1688","SR 1001","4.476","","106194121","2020-03-24","17","1","0","5","O","","",""
"UNIONVILLE","SIKES MILL","0.22","N","PIEDMONT SCHOOL","HAIGLER BAUCOM","SIKES MILL","999.999","","104745060","2016-05-26","21","1","0","1","O","","",""
"UNIONVILLE","SIKES MILL","0.19","S","TOM BOYD","SIKES MILL","SR 1001","3.271","","104712202","2016-04-23","19","2","0","5","O","","",""
"RURAL","SR 1001","0.4","N","SR 1664","SR 1152","SR 1001","10.045","","106674471","2021-07-21","19","1","0","1","B","","",""
"FAIRVIEW","SR 1001","0.1","S","SR 1663","SR 1639","SR 1001","8.549","","106934042","2022-04-25","5","1","0","1","C","","",""
"RURAL","SR 1001","1.0","E","SR 1524","SR 1007","SR 1001","999.999","","107177955","2022-12-10","21","1","0","1","O","","",""
"RURAL","SR 1001","0.7","S","SR 1606","SR 1640","SR 1001","3.394","","106325966","2020-08-19","29","1","2","1","O","","",""
"UNIONVILLE","SIKES MILL","0.5","S","TOM BOYD","UNIONVILLE","SR 1001","2.961","","106582879","2021-05-24","17","1","0","1","O","","",""
"RURAL","SR 1001","0.0","","SR 1637","SR 1606","SR 1001","4.11","","106532803","2021-03-31","26","1","10","1","O","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1638","SR 1674","SR 1001","5.226","","105561390","2018-08-01","30","1","7","1","O","","",""
"UNIONVILLE","SR 1001","0.3","N","SR 1678","SR 1615","SR 1001","999.999","","104835188","2016-08-31","29","1","0","1","O","","",""
"RURAL","SR 1001","0.75","N","NC 218","SANTA CLAUS","SR 1001","8.887","","105604627","2018-09-16","18","2","0","5","O","","",""
"UNIONVILLE","SR 1001","0.1","NE","SR 1606","PIEDMONT SCHOOL","SR 1001","4.194","","104695165","2016-04-04","19","1","0","1","O","","",""
"RURAL","SR 1001","0.1","S","CL-STANLY","SR 1664","SR 1001","10.376","","104947533","2016-12-14","19","2","0","5","B","","",""
"UNIONVILLE","SR 1001","1.5","N","SR 1367","SR 1606","SR 1001","999.999","","104852366","2016-09-14","29","1","0","5","O","","",""
"RURAL","SR 1001","0.0","","SR 1656","SR 1655","SR 1001","7.279","","106846006","2022-01-27","24","1","8","1","O","","",""
"UNIONVILLE","SR 1001","0.1","S","SR 1638","SR 1674","SR 1001","5.126","","105260877","2017-10-15","19","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.3","S","SR 1678","SR 1618","SR 1001","999.999","","106458989","2020-12-23","19","1","0","1","O","","",""
"RURAL","SR 1001","0.3","N","SR 1664","CL-STANLY","SR 1001","9.945","","106138896","2020-01-27","19","1","0","1","C","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1637","SR 1001","SR 1001","4.11","","105414221","2018-03-14","26","1","10","5","O","","",""
"UNIONVILLE","SR 1001","0.014","S","SR 1638","SR 1674","SR 1001","5.212","","105196253","2017-08-18","31","1","0","5","O","","",""
"FAIRVIEW","SR 1001","0.9","N","SR 1654","SR 1610","SR 1001","7.131","","105778686","2019-02-11","5","2","0","1","C","","",""
"RURAL","SR 1001","0.0","","SR 1653","SR 1654","SR 1001","6.69","","106620818","2021-06-25","24","1","8","1","B","","",""
"UNIONVILLE","LOVE MILL","0.25","N","*LCL PURSER RUSHING RD ","HAIGLER BAUCOM","","999.999","","108479327","2026-04-28","17","1","0","5","O","","",""
"UNIONVILLE","SIKES MILL","0.21","N","HENRY SMITH","HAIGLER BAUCOM","SIKES MILL","999.999","","107337337","2023-05-16","21","1","0","1","O","","",""
"UNIONVILLE","SIKES MILL","0.095","S","LOVE MILL","TOM BOYD","SR 1001","4.015","","107319455","2023-03-07","17","1","0","1","O","","",""
"FAIRVIEW","SR 1606","0.095","N","SR 1607","SR 1604","SR 1606","0.989","","107325118","2023-05-04","17","1","0","5","O","","",""
"UNIONVILLE","SIKES MILL","0.095","N","BAUCOM","CHANEY","SR 1001","1.447","","107319625","2023-04-11","29","1","0","1","O","","",""
"RURAL","SR 1606","0.6","S","SR 1547","NC 218","SR 1606","2.187","","107283618","2023-03-25","19","2","0","1","O","","",""
"RURAL","US 601","0.015","S","SR 1001","SR 1504","US 601","17.992","","107931418","2024-10-18","14","1","0","5","K","35.032613","-80.536895","VHB_PEDBIKE"
"UNIONVILLE","SR 1606","0.0","","SR 1688","SR 1618","SR 1606","5.728","","107281872","2023-03-23","23","1","0","1","O","","",""
"RURAL","SR 1001","0.009","E","SR 1663","NC 218","SR 1001","8.658","","107330783","2023-05-06","17","1","0","5","O","","",""
"FAIRVIEW","SR 1606","0.0","","SR 1547","SR 1607","SR 1606","1.587","","107313774","2023-04-11","30","1","7","1","O","","",""
"UNIONVILLE","SR 1001","0.1","SW","SR 1665","SR 1620","SR 1001","2.115","","107412806","2023-07-31","29","1","0","1","C","","",""
"UNIONVILLE","SR 1001","0.3","N","US 601","SR 1620","SR 1001","0.3","","107224114","2023-01-24","19","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.2","N","SR 1675","SR 1654","SR 1001","6.165","","107329666","2023-05-08","21","1","0","1","O","","",""
"UNIONVILLE","PVA 2623 SIKES MILL RD","0.009","W","SR 1001","SR 1618","","999.999","","107250998","2023-02-09","20","1","4","1","O","","",""
"RURAL","SR 1001","0.0","","NC 218","SR 1639","SR 1001","8.137","","107214357","2023-01-15","30","1","7","1","B","","",""
"UNIONVILLE","SIKES MILL","0.095","S","HENRY SMITH","TOM HELMS","SIKES MILL","999.999","","107217101","2023-01-19","24","2","4","1","C","","",""
"FAIRVIEW","NC 218","0.009","W","SIKES MILL","*LCL CROOKED CREEK CH RD ","NC 218","8.073","","107209411","2023-01-11","21","1","12","1","C","","",""
"UNIONVILLE","NC 200","0.0","","SR 1606","SR 1633","NC 200","25.69","","107224951","2023-01-22","23","2","7","5","O","","",""
"RURAL","SR 1665","0.008","W","SR 1001","SR 2709","SR 1665","0.008","","107374234","2023-06-21","19","2","8","1","C","","",""
"RURAL","SR 1001","0.0","","NC 218","NC 200","SR 1001","8.137","","107384204","2023-06-30","30","1","7","5","C","","",""
"RURAL","SR 1001","0.0","","NC 218","SR 1639","SR 1001","8.137","","107423069","2023-08-11","30","1","0","1","O","","",""
"RURAL","SR 1606","0.2","N","SR 1678","SR 1638","SR 1606","5.596","","107360456","2023-06-06","29","1","0","1","O","","",""
"UNIONVILLE","SIKES MILL","0.038","N","US 601","SPRING LAKE","SR 1001","0.038","","107395905","2023-07-14","19","1","0","1","O","","",""
"RURAL","*PP 2815 OLD CAMDEN RD ","0.019","W","SR 1606","DEAD END","","999.999","","107479024","2023-10-04","20","1","5","5","O","","",""
"UNIONVILLE","SR 1001","0.3","S","SR 1638","SR 1674","SR 1001","4.926","","107423126","2023-08-12","17","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1654","SR 1653","SR 1001","6.231","","107363964","2023-06-12","21","1","8","1","O","","",""
"UNIONVILLE","SR 1001","0.24","S","SR 1620","US 601","SR 1001","1.112","","108478263","2026-04-24","23","1","0","1","O","35.05437","-80.52348","DMV349"
"RURAL","LOVE MILL","1.2","N","ZEBULON WILLIAMS","CARRIKER","SR 1001","7.89","","107535604","2023-11-21","17","2","0","5","O","","",""
"RURAL","SR 1547","0.0","","SR 1606","US 601","SR 1547","2.101","","107547852","2023-11-28","30","1","7","1","B","35.1478","-80.47555","DMV349CLEANED"
"UNIONVILLE","SIKES MILL","0.009","N","TOM HELMS","HENRY SMITH","SR 1001","4.103","","107554045","2023-11-28","28","1","10","5","O","","",""
"RURAL","SR 1001","0.1","N","SR 1615","SR 1619","SR 1001","2.971","","107410107","2023-07-29","17","1","0","1","O","","",""
"UNIONVILLE","SR 1615","0.0","","SR 1001","SR 1619","SR 1615","2.89","","107574676","2023-12-23","19","1","8","5","O","35.07595","-80.50811","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.0","","SR 1655","SR 1656","SR 1001","7.256","","107575087","2023-12-22","24","1","8","5","O","35.12313","-80.45792","DMV349CLEANED"
"FAIRVIEW","SIKES MILL","0.11","N","NC 218","BRIEF","SIKES MILL","999.999","","107575353","2023-12-26","19","2","0","1","O","","",""
"RURAL","SR 1001","0.076","N","SR 1620","SR 1645","SR 1001","1.428","","107976497","2024-12-29","19","2","0","5","O","35.060048","-80.52142","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.066","S","SR 1617","SR 1615","SR 1001","3.395","","107405320","2023-07-21","17","1","0","1","O","","",""
"UNIONVILLE","SR 1001","0.085","S","SR 1674","SR 1606","SR 1001","4.713","","107518060","2023-11-01","29","1","0","1","O","35.09489","-80.48599","DMV349CLEANED"
"UNIONVILLE","SR 1606","0.25","NW","NC 200","PRESSON FARM","SR 1606","999.999","","107613194","2024-02-03","23","1","0","1","O","35.06","-80.49","DMV349"
"UNIONVILLE","SIKES MILL","1.16","N","US 601","BAUCOM","SR 1001","1.16","","107470651","2023-09-19","17","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.004","N","US 601","SR 1620","SR 1001","0.004","","107405557","2023-07-22","21","1","9","1","O","","",""
"FAIRVIEW","NC 218","0.005","E","LOVE MILL","NC 200","NC 218","9.791","","107609800","2024-01-31","21","2","7","1","C","","",""
"RURAL","SR 1606","0.8","N","SR 1678","SR 1615","SR 1606","4.996","","107584544","2024-01-03","17","2","0","5","O","35.10365","-80.49062","DMV349CLEANED"
"RURAL","SR 1001","0.5","N","US 601","SR 1620","SR 1001","0.5","","107466297","2023-09-20","29","1","0","1","C","","",""
"UNIONVILLE","SR 1001","0.25","N","SR 1620","SR 1665","SR 1001","1.602","","107595975","2024-01-15","19","1","0","1","O","35.06","-80.52","DMV349"
"UNIONVILLE","SR 1001","0.01","NE","US 601","SR 1620","SR 1001","0.01","","107615459","2024-02-05","29","1","0","3","O","35.04076","-80.5309","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.0","","SR 1618","SR 1693","SR 1001","4.094","","107587041","2024-01-06","26","1","10","5","O","35.0889","-80.49403","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.0","","SR 1637","LOVE MILL","SR 1001","4.11","","107495749","2023-10-19","28","1","10","5","O","","",""
"UNIONVILLE","SIKES MILL","0.0","","TOM BOYD","UNIONVILLE","SR 1001","3.461","","107601791","2024-01-23","30","2","7","1","O","","",""
"FAIRVIEW","SIKES MILL","0.35","S","BRIEF","NC 218","SIKES MILL","999.999","","107562589","2023-12-14","19","1","0","1","O","","",""
"UNIONVILLE","LAWYERS","0.005","SE","SIKES MILL","OLD CAMDEN","LAWYERS","999.999","","107493499","2023-10-18","21","1","10","1","O","35.088954","-80.493752","ITRE_CMV"
"RURAL","SR 1006","0.0","","SR 1606","SR 2188","SR 1006","999.999","","107569594","2023-12-18","24","1","8","1","B","35.03187","-80.47551","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.3","S","SR 1617","SR 1615","SR 1001","3.161","","107634836","2024-02-24","29","1","0","5","O","35.07842","-80.50516","DMV349CLEANED"
"UNIONVILLE","SR 1606","0.006","S","SR 1678","SR 1001","SR 1606","5.802","","107611797","2024-01-31","19","1","0","1","O","35.09593","-80.49285","DMV349CLEANED"
"FAIRVIEW","SIKES MILL","0.19","N","BRIEF","OLD FERRY","SIKES MILL","999.999","","108485442","2026-05-04","17","1","","1","O","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1606","SR 1618","SR 1001","4.094","","107633193","2024-02-21","26","1","10","5","O","35.089281","-80.494","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.2","S","SR 1615","SR 2713","SR 1001","2.671","","107693734","2024-04-19","17","1","0","1","O","35.07412","-80.5104","DMV349CLEANED"
"FAIRVIEW","NC 218","0.0","","SIKES MILL","BRIEF","NC 218","8.082","","107705518","2024-05-01","23","1","7","1","C","","",""
"UNIONVILLE","SR 1001","0.2","N","US 601","SR 1620","SR 1001","0.2","","107643542","2024-03-02","19","1","0","2","C","35.042236","-80.52955","DMV349CLEANED"
"RURAL","SR 1606","0.0","","SR 1547","SR 1607","SR 1606","1.587","","107659363","2024-03-18","30","1","7","1","O","35.14808","-80.47567","DMV349CLEANED"
"RURAL","NC 218","0.0","","SR 1606","SR 1547","NC 218","8.082","","107659355","2024-03-16","30","1","7","1","O","35.13035","-80.47907","DMV349CLEANED"
"UNIONVILLE","SR 1606","0.3","E","SR 1697","NC 200","SR 1606","999.999","","107647374","2024-03-07","19","1","0","1","O","35.05937","-80.4874","DMV349CLEANED"
"UNIONVILLE","PVA PIEDMONT MIDDLE SCHOOL","0.019","E","SIKES MILL","","","999.999","","107683218","2024-04-11","31","2","4","1","O","","",""
"FAIRVIEW","NC 218","0.0","","SIKES MILL","BRIEF","NC 218","8.082","","107751347","2024-06-14","24","1","7","1","C","","",""
"UNIONVILLE","PVA MARATHON GAS STATION","0.019","W","SR 1001","DEAD END","","999.999","","107692192","2024-04-18","31","1","4","1","O","35.0886","-80.49449","DMV349"
"UNIONVILLE","SR 1001","0.031","S","SR 2713","SR 1665","SR 1001","2.494","","107743856","2024-06-04","5","1","0","1","A","35.068813","-80.51643","DMV349CLEANED"
"FAIRVIEW","NC 218","0.0","","SIKES MILL","*LCL OLD FISH RD ","NC 218","8.082","","108486827","2026-05-04","28","1","10","1","O","","",""
"FAIRVIEW","SR 1606","0.006","S","NC 218","SR 1610","SR 1606","2.947","","107743765","2024-06-05","29","2","7","1","O","","",""
"UNIONVILLE","LOVE MILL","0.072","N","*LCL PURSER RUSHING RD ","HAIGLER BAUCOM","","999.999","","107756918","2024-06-20","23","1","5","3","O","","",""
"FAIRVIEW","SIKES MILL","0.3","N","OLD FERRY","*LCL BIGGERS CEMETRY RD ","SIKES MILL","999.999","","107748214","2024-06-12","17","1","0","1","O","","",""
"RURAL","SIKES MILL","0.13","N","SPRING LAKE","CHANEY","SR 1001","1.015","","107715447","2024-05-07","17","1","0","5","O","","",""
"UNIONVILLE","SIKES MILL","0.15","S","CLONTZ LONG","UNIONVILLE","SIKES MILL","999.999","","107408108","2023-07-27","29","1","0","1","O","","",""
"RURAL","SR 1656","0.0","","SR 1001","SR 1655","SR 1656","0.0","","107648441","2024-03-08","24","1","8","1","C","35.12324","-80.4575","DMV349CLEANED"
"UNIONVILLE","SIKES MILL","0.19","S","TOM BOYD","UNIONVILLE","SR 1001","3.271","","107653449","2024-03-13","29","1","0","1","O","","",""
"UNIONVILLE","SIKES MILL","0.21","N","UNIONVILLE","CLONTZ LONG","SR 1001","3.081","","106523220","2021-03-20","19","2","0","5","O","","",""
"RURAL","SR 1606","0.0","","SR 1627","NC 200","SR 1606","999.999","","107696630","2024-04-17","30","1","7","1","B","35.04972","-80.48138","DMV349CLEANED"
"RURAL","SIKES MILL","1.0","N","UNIONVILLE","CLONTZ LONG","SR 1001","3.871","","107319577","2023-04-02","17","1","0","5","O","","",""
"UNIONVILLE","SIKES MILL","0.25","S","CLONTZ LONG","UNIONVILLE","SIKES MILL","999.999","","107535602","2023-11-20","17","1","0","5","O","","",""
"UNIONVILLE","PVA PIEDMONT HS","0.028","E","SIKES MILL","","","999.999","","107711938","2024-05-07","23","1","4","1","O","","",""
"RURAL","NC 218","0.0","","SR 1001","NC 200","NC 218","9.786","","107715702","2024-05-11","30","1","7","1","O","35.13378","-80.44974","DMV349CLEANED"
"FAIRVIEW","SR 1606","0.1","SW","SR 1507","NC 218","SR 1606","999.999","","107737133","2024-05-30","29","1","0","1","O","35.145932","-80.478031","ITRE_CMV"
"UNIONVILLE","NC 200","0.01","N","SR 1606","SR 1637","NC 200","25.7","","107859973","2024-09-19","19","1","0","1","B","35.060963","-80.48599","DMV349CLEANED"
"FAIRVIEW","SR 1606","0.0","","SR 1547","SR 1607","SR 1606","1.587","","107737177","2024-05-29","30","1","7","5","O","35.14776","-80.47546","DMV349CLEANED"
"RURAL","SR 1001","0.0","","SR 1639","NC 218","SR 1001","8.536","","107852234","2024-09-14","14","1","0","5","A","35.139131","-80.446384","VHB_PEDBIKE"
"RURAL","US 601","0.0","","SR 1001","SR 1504","US 601","18.007","","107931666","2024-11-15","24","1","9","5","C","35.032614","-80.53691","DMV349CLEANED"
"FAIRVIEW","SR 1606","0.0","","SR 1547","SR 1607","SR 1606","1.587","","107892491","2024-10-19","30","1","7","1","O","35.14","-80.47","DMV349"
"FAIRVIEW","SIKES MILL","0.0","","OLD FERRY","*LCL BIGGERS CEMETERY RD ","SIKES MILL","999.999","","107885248","2024-10-16","23","1","7","1","O","","",""
"UNIONVILLE","TOM BOYD","0.29","SE","SIKES MILL","OLD CAMDEN","","999.999","","107906736","2024-10-28","17","1","0","5","O","","",""
"UNIONVILLE","SR 1001","1.0","N","US 601","SR 1620","SR 1001","1.0","","107900538","2024-10-21","14","1","0","1","C","35.0539","-80.523561","VHB_PEDBIKE"
"UNIONVILLE","SIKES MILL","0.19","N","LOVE MILL","HENRY SMITH","SR 1001","4.11","","107844522","2024-09-10","24","1","4","1","O","","",""
"RURAL","SR 1606","0.0","","SR 1547","NC 218","SR 1606","1.587","","107707929","2024-05-03","30","1","7","1","C","35.14785","-80.47548","DMV349CLEANED"
"RURAL","SR 1001","0.038","S","SR 1665","SR 1620","SR 1001","2.177","","107935833","2024-11-25","17","1","0","5","O","35.06681","-80.51741","DMV349CLEANED"
"UNIONVILLE","SR 1001","1.0","S","SR 1620","SPRING LAKE","SR 1001","0.352","","107943300","2024-12-01","17","1","0","5","O","35.05371","-80.52052","DMV349CLEANED"
"UNIONVILLE","SIKES MILL","0.0","","TOM HELMS","TOM BOYD","SR 1001","4.094","","108047061","2025-03-14","28","1","10","1","O","","",""
"UNIONVILLE","US 601","0.002","N","SR 1001","SR 1505","US 601","18.009","","107708011","2024-05-04","21","2","0","1","O","35.040357","-80.53178","DMV349CLEANED"
"UNIONVILLE","SR 1606","0.0","","SR 1618","SR 1678","SR 1606","6.066","","107997463","2025-01-18","30","2","10","5","O","35.089242","-80.49407","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.0","","US 601","US 74","SR 1001","0.0","","108010266","2025-02-03","21","1","8","1","O","35.04","-80.53","DMV349"
"RURAL","SR 1606","0.1","N","SR 1604","CL-STANLY","SR 1606","0.105","","107999824","2025-01-21","19","5","0","5","O","35.169336","-80.47313","DMV349CLEANED"
"UNIONVILLE","PVA 709 SIKES MILL RD","0.005","W","SR 1001","DEAD END","","999.999","","107994713","2025-01-17","20","1","5","2","","","",""
"FAIRVIEW","SR 1606","0.2","N","SR 1547","SR 1607","SR 1606","1.387","","107731025","2024-05-25","29","1","0","5","O","35.15063","-80.47334","DMV349CLEANED"
"FAIRVIEW","SR 1606","0.76","N","SR 1607","SR 1604","SR 1606","0.324","","107977960","2025-01-01","17","1","0","5","O","35.16079","-80.47312","DMV349CLEANED"
"UNIONVILLE","SIKES MILL","0.038","N","*LCL PIEDMONT SCH RD ","HAIGLER BAUCOM","","999.999","","107926331","2024-11-15","24","1","4","1","O","","",""
"FAIRVIEW","SR 1606","0.8","N","NC 218","SR 1547","SR 1606","2.141","","107927512","2024-11-18","17","1","0","5","O","35.14643","-80.47709","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.0","","SR 1617","SR 1681","SR 1001","3.461","","107902086","2024-10-28","30","1","7","1","O","35.08155","-80.50036","DMV349CLEANED"
"UNIONVILLE","SIKES MILL","0.24","SW","TOM BOYD","UNIONVILLE","SR 1001","3.221","","108025090","2025-02-11","19","2","0","5","O","","",""
"RURAL","SR 1606","0.3","N","SR 1006","SR 1627","SR 1606","999.999","","108052545","2025-03-18","19","1","0","5","C","35.036125","-80.47554","DMV349CLEANED"
"UNIONVILLE","SIKES MILL","0.11","S","TOM HELMS","TOM BOYD","SR 1001","3.984","","108072099","2025-04-08","29","1","0","1","O","","",""
"UNIONVILLE","SR 1606","1.5","NW","NC 200","MILL CREEK CHUR","SR 1606","999.999","","107505990","2023-10-27","17","1","0","3","O","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1675","SR 1654","SR 1001","5.965","","108055290","2025-03-21","17","1","8","5","O","35.108503","-80.4725","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.23","E","US 601","SPRING LAKE","SR 1001","0.23","","108184095","2025-07-21","19","1","0","1","A","35.045834","-80.52664","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.1","N","SR 1615","SR 1617","SR 1001","2.971","","108184887","2025-07-27","19","1","0","1","A","35.08039","-80.50271","DMV349CLEANED"
"RURAL","SR 1001","0.12","N","SR 1656","NC 218","SR 1001","7.399","","108066713","2025-03-31","19","1","0","5","C","35.12462","-80.45634","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.12","S","SR 1618","SR 1619","SR 1001","3.974","","108066712","2025-03-31","19","1","0","1","O","35.08755","-80.49453","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.1","N","SR 1674","SR 1638","SR 1001","4.898","","108010852","2025-02-04","23","1","0","1","O","35.09","-80.48","DMV349"
"FAIRVIEW","SR 1606","0.1","N","SR 1547","NC 218","SR 1606","1.487","","108318481","2025-11-05","18","1","0","1","O","35.14495","-80.47997","DMV349CLEANED"
"UNIONVILLE","SIKES MILL","0.14","N","*LCL PIEDMONT SCH DR ","HAIGLER BAUCOM","","999.999","","108319024","2025-11-25","24","1","4","1","B","","",""
"RURAL","SR 1001","1.0","NE","NC 218","SR 1639","SR 1001","9.137","","108021945","2025-02-02","19","1","0","1","C","35.12502","-80.45609","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.2","N","SR 1654","SR 1653","SR 1001","6.431","","108050644","2025-03-16","19","1","0","1","O","35.113697","-80.46643","DMV349CLEANED"
"RURAL","SR 1001","0.5","N","SR 1665","SR 2713","SR 1001","2.715","","108271610","2025-10-13","29","1","0","1","O","35.071635","-80.51358","DMV349CLEANED"
"RURAL","SR 1001","0.2","N","SR 1547","SR 1607","SR 1001","999.999","","108343169","2025-12-11","29","1","0","5","O","35.14858","-80.47485","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.028","N","SR 1620","SR 1665","SR 1001","1.38","","108296963","2025-10-29","21","2","0","1","O","35.05","-80.52","DMV349"
"RURAL","SR 1001","0.0","","SR 1639","NC 218","SR 1001","8.536","","108145851","2025-06-14","17","1","0","5","O","35.138995","-80.44653","DMV349CLEANED"
"UNIONVILLE","PVA MARATHON","0.009","W","SR 1001","SR 1618","","999.999","","108345733","2025-12-19","20","1","4","1","O","35.08","-80.49","DMV349"
"UNIONVILLE","SIKES MILL","0.0","","UNIONVILLE","HAIGLER BAUCOM","SR 1001","2.871","","108179130","2025-07-22","19","1","0","1","C","","",""
"UNIONVILLE","SR 1606","0.6","W","NC 200","SR 1697","SR 1606","999.999","","108023442","2025-02-16","21","1","0","1","A","35.06645","-80.49057","DMV349CLEANED"
"FAIRVIEW","SIKES MILL","0.44","N","NC 218","BRIEF","SIKES MILL","999.999","","108296735","2025-11-06","29","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.2","E","SR 1674","SR 1638","SR 1001","4.998","","108279466","2025-10-23","17","1","0","1","O","35.09663","-80.48478","DMV349CLEANED"
"RURAL","SR 1001","0.22","SE","SR 1653","SR 1654","SR 1001","6.47","","108275804","2025-10-19","19","1","0","1","O","35.11388","-80.46619","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.0","","SR 1617","SR 1606","SR 1001","3.461","","108279485","2025-10-23","30","1","7","1","C","35.081547","-80.50037","DMV349CLEANED"
"UNIONVILLE","SR 1688","0.0","","SR 1001","SR 1674","SR 1688","999.999","","108248173","2025-09-22","24","1","8","1","O","35.09387","-80.48769","DMV349CLEANED"
"UNIONVILLE","SR 1606","0.2","S","SR 1691","NC 200","SR 1606","999.999","","108320401","2025-11-20","23","1","0","1","O","35.07005","-80.49195","DMV349CLEANED"
"UNIONVILLE","PVA PIEDMONT MIDDLE SCHOOL","0.001","E","SIKES MILL","","","999.999","","108247372","2025-09-30","21","2","4","1","O","","",""
"UNIONVILLE","TOM BOYD","0.36","E","OLD CAMDEN","SIKES MILL","","999.999","","108277405","2025-10-24","17","1","0","3","B","","",""
"UNIONVILLE","SR 1001","0.053","N","SR 1620","SR 1665","SR 1001","1.405","","108285791","2025-10-29","29","2","0","1","O","35.05844","-80.52197","DMV349CLEANED"
"FAIRVIEW","SR 1606","0.0","","NC 218","*LCL OLD FISH RD ","SR 1606","2.941","","108248400","2025-09-24","28","1","10","1","O","35.130707","-80.47909","DMV349CLEANED"
"UNIONVILLE","LOVE MILL","0.41","S","BRIEF","NC 218","LOVE MILL","999.999","","108330211","2025-12-04","17","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1617","SR 1618","SR 1001","3.461","","108250468","2025-10-01","30","1","7","5","O","35.081578","-80.50036","DMV349CLEANED"
"UNIONVILLE","SR 1606","0.076","N","SR 1688","SR 1638","SR 1606","5.652","","108134261","2025-06-06","19","1","0","5","B","35.097676","-80.49236","DMV349CLEANED"
"UNIONVILLE","US 601","0.0","","SR 1001","SR 1504","US 601","18.007","","108338300","2025-12-09","24","1","8","5","O","35.040332","-80.53181","DMV349CLEANED"
