"Municipality","On Road","Miles","Dir From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S","Latitude","Longitude","Source"
"RURAL","NC 218","0.0","","SR 1606","NC 200","NC 218","8.082","","105098258","2017-05-12","30","1","7","1","O","","",""
"FAIRVIEW","NC 218","0.004","W","SR 1001","SR 1609","NC 218","9.782","","105067787","2017-04-03","22","2","7","1","O","","",""
"RURAL","NC 218","0.0","","SR 1001","SR 1547","NC 218","9.786","","105127353","2017-06-08","21","1","7","1","B","","",""
"UNIONVILLE","PVA PIEDMONT HIGH SCHOOL","0.017","W","SR 1001","DEAD END","","999.999","","104945962","2016-12-12","21","1","4","1","O","","",""
"RURAL","NC 218","0.005","W","SR 1001","SR 1547","NC 218","9.781","","105103445","2017-05-17","23","1","7","1","B","","",""
"RURAL","SR 1606","0.2","N","SR 1006","SR 1001","SR 1606","999.999","","105161843","2017-07-13","29","1","0","1","O","","",""
"UNIONVILLE","LOVE MILL","0.005","E","SIKES MILL","PIEDMONT SCHOOL","LOVE MILL","999.999","","107319671","2023-04-19","21","1","10","1","O","","",""
"UNIONVILLE","PVA MARATHON GAS STATION","0.014","W","SR 1606","SR 1001","","999.999","","105060300","2017-03-20","31","1","4","1","O","","",""
"UNIONVILLE","SIKES MILL","0.057","N","HENRY SMITH","*LCL TOM HELMS ROAD ","SIKES MILL","999.999","","106910959","2022-04-01","24","1","4","1","O","","",""
"FAIRVIEW","SR 1606","0.2","S","SR 1547","NC 218","SR 1606","1.787","","105043332","2017-03-16","29","1","0","1","O","","",""
"UNIONVILLE","NC 218","0.0","","SR 1001","NC 200","NC 218","9.786","","105085947","2017-04-20","21","1","7","1","C","","",""
"UNIONVILLE","SR 1001","0.006","S","SR 2713","SR 1665","SR 1001","2.519","","108208937","2025-08-14","19","1","0","1","A","35.072535","-80.51289","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.0","","SR 1617","SR 1615","SR 1001","3.461","","105210461","2017-08-30","30","1","7","1","C","","",""
"UNIONVILLE","PVA PIEDMONT HIGH SCHOOL","0.009","W","SR 1001","*LCL - ","","999.999","","104865813","2016-09-29","21","2","4","1","C","","",""
