"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"WAYNE","96","4","All and Rural","","10/1/2015","9/30/2025","10.00","150"
"Road Name","Road Code"
"NC 581","30000581"
"BILL","50002677"
"SR 1960","40001960"
"SPRING BANK","50034637"
"SPRING","50028855"
"BANK","50001579"
"NC 111","30000111"
"OLD NC 111","50036308"
"SR 1727","40001727"
"DOLLARD TOWN","50037495"
"11/25/2025","Page 1 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"211","PVA 206 S HWY 111","0.001","W","NC 111","","","999.999","","105744313","2019-01-04","30","2","4","5","O"
"211","PVA 209 S NC 111 HWY","0.019","E","NC 111","","","999.999","","106710725","2021-08-10","20","1","","1","O"
"0","PVA 219 NC 111 SOUTH","0.002","E","NC 111","DEAD END","","999.999","","105679070","2018-11-14","21","1","4","4","O"
"211","PVA 219 S NC 111 HWY","0.008","E","NC 111","WOODPECK","","999.999","","108115597","2025-05-19","27","1","0","1",""
"211","PVA 233 S 111 HWY","0.014","","NC 111","","","999.999","","106048675","2019-10-24","30","1","0","1","O"
"211","PVA 2829 HWY 70","0.028","E","NC 581","","","999.999","","104778608","2016-06-17","31","2","0","4",""
"211","PVA 2829 US 70 W","0.020","E","NC 581","*LCL ADAIR DR ","","999.999","","107712464","2024-05-08","31","1","0","1","O"
"0","PVA 2829 US HWY 70 W","0.002","S","NC 581","","","999.999","","108046817","2025-03-11","25","1","4","1","O"
"211","PVA 2829 US HWY 70 W","0.004","E","NC 581","","","999.999","","104794536","2016-06-30","29","1","4","1","O"
"211","PVA 2833 US 70","0.002","E","NC 581","","","999.999","","104790875","2016-07-07","19","2","0","4","O"
"211","PVA 2908 70 W","0.009","W","NC 581","US 70","","999.999","","107963928","2024-12-19","21","1","4","1","O"
"211","PVA 2908 HWY 70 WEST","0.001","W","NC 581","US 70","","999.999","","107671774","2024-03-28","21","2","0","1","O"
"0","PVA 2908 US 70","0.013","W","NC 581","DEAD END","","999.999","","107943369","2024-12-02","24","1","4","1","C"
"211","PVA 2908 US 70 W","0.000","N","NC 581","","","999.999","","106423379","2020-11-14","28","1","8","4","O"
"211","PVA 2908 US HIGHWAY 70 W,","0.008","N","NC 581","PVA 2940 US HIGHWAY 70 W","","999.999","","108018174","2025-02-11","19","2","0","5","O"
"211","PVA 2908 US HWY 70","0.007","W","NC 581","","","999.999","","104762471","2016-05-24","30","1","7","4","O"
"211","PVA 2908 US HWY 70","0.016","","NC 581","","","999.999","","104833723","2016-08-01","28","2","4","1","O"
"211","PVA 2908 US HWY 70 E","0.009","W","NC 581","","","999.999","","106406667","2020-11-04","28","1","0","1","O"
"211","PVA 2908 US HWY 70 W","0.003","W","NC 581","","","999.999","","104949797","2016-11-22","20","1","","2","O"
"211","PVA 2908 US HWY 70 W","0.010","W","NC 581","","","999.999","","104670624","2016-02-20","23","1","0","1","O"
"211","PVA 2908 US HWY 70 W","0.014","W","NC 581","*US 42 ","","999.999","","108229367","2025-09-06","23","1","7","1","O"
"211","PVA 2908 W 70 HWY","0.009","W","NC 581","BROOK","","999.999","","108091759","2025-04-26","31","1","0","1",""
"211","PVA 2908 W 70 HWY","0.009","W","NC 581","BROOK","","999.999","","107187883","2022-12-20","30","1","0","4","C"
"211","PVA 2908 W 70 HWY","0.014","W","NC 581","","","999.999","","106735559","2021-09-03","24","1","","1","O"
"11/25/2025","Page 5 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"211","PVA 2908 W 70 HWY","0.028","E","NC 581","BROOK","","999.999","","107849519","2024-09-14","31","1","0","1","O"
"211","PVA 2908 W US 70 HWY","0.000","W","NC 581","US 70","","999.999","","108198140","2025-08-09","30","1","4","1","O"
"211","PVA 2908 W US 70 HWY","0.003","W","NC 581","BROOK","","999.999","","107866378","2024-09-29","21","1","8","1",""
"211","PVA 2908 W US 70 HWY","0.014","W","NC 581","","","999.999","","106495905","2021-01-07","30","1","0","1","O"
"211","PVA 2908 W US 70 HWY","0.023","W","NC 581","US 70BUS","","999.999","","107585705","2024-01-05","23","1","0","4","O"
"211","PVA 2908 W US HWY 70","0.009","W","NC 581","BROOK","","999.999","","108071045","2025-04-04","31","1","0","1","O"
"211","PVA 2908 W US HWY 70","0.019","E","NC 581","US 70","","999.999","","107127480","2022-10-30","20","1","0","1",""
"211","PVA 2908 W US HWY 70","0.019","S","NC 581","US 70","","999.999","","107274593","2023-03-17","31","1","0","1","O"
"211","PVA 2908 W US HWY 70","0.019","W","NC 581","US 70","","999.999","","107051688","2022-08-19","30","1","0","1","C"
"211","PVA 2908 W US HWY 70","0.019","W","NC 581","US 70","","999.999","","107077627","2022-09-12","20","1","0","1","O"
"0","PVA 3579 NC 111","0.010","E","NC 111","DEAD END","","999.999","","108229987","2025-09-11","28","2","4","1","O"
"0","PVA 404 NC HWY 111 SOUTH","0.028","W","NC 111","DEAD END","","999.999","","105663113","2018-11-05","31","2","4","1","O"
"211","PVA 4340 E US 70 HWY","0.016","NE","NC 111","US 70BUS","","999.999","","107372486","2023-06-21","25","1","0","1","O"
"211","PVA 4350 E 70 HWY","0.000","","NC 111","","","999.999","","108121003","2025-05-22","19","1","4","1","O"
"211","PVA 4350 E US 70 HWY","0.019","E","NC 111","","","999.999","","107552057","2023-12-05","28","1","0","1","O"
"211","PVA 4350 HWY 70 E","0.028","E","NC 111","STREET UNK-SEE RPT","","999.999","","104661089","2016-02-15","19","2","0","1","O"
"0","PVA A & M AUTO REPAIR","0.019","E","NC 111","SR 1727","","999.999","","104750633","2016-05-26","20","1","4","1",""
"0","PVA ARCADE 581","0.005","E","NC 581","","","999.999","","105491922","2018-05-10","31","2","4","4","O"
"0","PVA ARRINGTON BRIDGE MART","0.019","S","NC 581","SR 1915","","999.999","","104727947","2016-05-09","31","1","0","1","O"
"0","PVA ARRINGTON MART","0.009","S","NC 581","SR 1915","","999.999","","107872009","2024-10-03","31","1","4","1","O"
"0","PVA ARRINGTON MART","0.009","W","NC 581","SR 1915","","999.999","","105561597","2018-07-31","31","1","0","1","O"
"11/25/2025","Page 6 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","PVA ARRINGTON MART","0.013","S","NC 581","","","999.999","","107071170","2022-09-05","31","1","0","1","O"
"0","PVA ARRINGTON MART","0.019","S","NC 581","","","999.999","","106888348","2022-03-09","20","1","0","5",""
"0","PVA ARRINGTON MART","0.022","S","NC 581","SR 1915","","999.999","","107832460","2024-08-10","20","2","4","1",""
"0","PVA ARRINGTON MART","0.028","S","NC 581","DEAD END","","999.999","","105968025","2019-08-19","31","1","4","1","O"
"0","PVA BIENVENIDOS EL CORRAL","0.013","W","NC 111","","","999.999","","107026583","2022-07-24","31","1","4","1","O"
"0","PVA BRIGHT BEGINNINGS II","0.018","E","NC 111","DEAD END","","999.999","","108230810","2025-09-11","20","1","0","1","O"
"0","PVA BRIGHT BEGINNINGS II","0.021","W","NC 111","DEAD END","","999.999","","106103228","2019-12-19","20","1","4","1","O"
"0","PVA CIRCLE K","0.019","S","NC 581","US 117","","999.999","","108184992","2025-07-28","23","1","4","1","O"
"0","PVA COORS BAIT & TACKLE","0.016","N","SR 1960","","","999.999","","104689064","2016-03-30","31","7","4","1",""
"0","PVA DOLLAR GENERAL","0.005","W","NC 111","DEAD END","","999.999","","107005045","2022-06-30","31","1","0","4","O"
"0","PVA DOLLAR GENERAL","0.023","S","NC 111","SR 1546","","999.999","","105415669","2018-03-12","31","2","4","1","O"
"0","PVA DOLLAR GENERAL","0.028","W","NC 111","SR 1745","","999.999","","108236194","2025-09-09","31","1","4","5","O"
"0","PVA DOLLAR GENERAL","0.015","W","NC 581","DEAD END","","999.999","","106752289","2021-11-01","19","1","0","5","O"
"0","PVA DOLLAR GENERAL","0.015","W","NC 581","","","999.999","","106038800","2019-10-24","31","1","4","1","O"
"0","PVA EL MOLINO","0.010","W","NC 581","","","999.999","","105876762","2019-05-23","14","1","4","1","B"
"0","PVA EXXON","0.019","W","NC 111","DEAD END","","999.999","","106767444","2021-11-12","31","1","4","1","O"
"0","PVA EXXON","0.028","W","NC 111","SR 1960","","999.999","","106983820","2022-05-26","31","1","4","1","O"
"0","PVA FAMILY DOLLAR","0.013","SW","NC 111","*LCL FAMILY DOLLAR PVA ","","999.999","","106812067","2021-12-15","20","1","4","5","O"
"0","PVA FAMILY DOLLAR","0.014","W","NC 111","","","999.999","","105569840","2018-08-11","31","2","4","1","O"
