"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"JOHNSTON","51","4","All and Rural","","12/1/2013","5/31/2026","12.50","0"
"Road Name","Road Code"
"SR 1003","40001003"
"BUFFALO","50004182"
"WENDELL","50032464"
"LAKE WENDELL","50016884"
"SR 1701","40001701"
"EAGLE ROCK","50009137"
"SR 2638","40002638"
"SR 1716","40001716"
"07/14/2026","Page 1 of 74"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"502","SR 1003","0.000","","HOSPITAL","","SR 1003","0.598","","105302154","2017-11-09","23","2","","4","O"
"502","SR 1003","0.000","","HOSPITAL","","SR 1003","0.598","","104618007","2016-01-08","30","2","7","1","C"
"502","SR 1003","0.000","","HOSPITAL","NORTH","SR 1003","0.598","","104438941","2015-07-16","23","1","7","1","O"
"502","SR 1003","0.000","","HOSPITAL","","SR 1003","0.598","","104279791","2015-01-21","30","1","7","1","C"
"502","SR 1003","0.000","","HOSPITAL","PARKWAY","SR 1003","0.598","","104183659","2014-10-03","30","1","7","1","B"
"502","SR 1003","0.000","N","HOSPITAL","HOLLAND","SR 1003","0.598","","106994087","2022-06-07","26","1","7","1","O"
"502","SR 1003","0.000","N","HOSPITAL","HOLLAND","SR 1003","0.598","","106431430","2020-11-28","30","2","7","1","B"
"502","SR 1003","0.000","","SR 1921","HOLLAND","SR 1003","0.598","","104882945","2016-09-16","30","1","7","1","O"
"502","SR 1003","0.095","N","HOSPITAL","HOLLAND","SR 1003","0.693","","104493149","2015-09-06","1","1","0","4","O"
"502","SR 1003","0.190","N","HOSPITAL","HOLLAND","SR 1003","0.788","","108383510","2026-01-26","27","1","0","1","A"
"502","SR 1003","0.190","N","HOSPITAL","HOLLAND","SR 1003","0.788","","104308990","2015-02-18","1","4","0","1","B"
"502","SR 1003","0.250","N","HOSPITAL","HOLLAND","SR 1003","0.848","","105151472","2017-06-30","17","1","0","5","O"
