,"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Intersection Analysis Report"
"Study Criteria Summary"
"County:","GREENE","City:","All and Rural"
"Date:","4/1/2022","to","3/31/2026","Study:","41000078044AFTER1"
"Location:","NC 91 at SR 1225 (Speights Bridge Road)/SR 1303 (Fieldsboro Road)"
"Report Details"
"Acc
No","Crash ID","Date","Accident Type","Total
"SR 1225","40001225"
"FIFTH","50010479"
"FIELDSBORO","50049016"
"Intersection Road Combinations"
"Name","Code","Code","Name"
"NC 91","30000091","40001225","SR 1225"
"NC 91","30000091","40001303","SR 1303"
"NC 91","30000091","50028745","SPEIGHTS BRIDGE"
"NC 91","30000091","50049016","FIELDSBORO"
"SR 1225","40001225","40001303","SR 1303"
"SR 1225","40001225","50049016","FIELDSBORO"
"SR 1303","40001303","50028745","SPEIGHTS BRIDGE"
"SPEIGHTS BRIDGE","50028745","50049016","FIELDSBORO"
,"05/29/2026","All data presented in this report comes explicitly from the Traffic Engineering Accident Analysis
System based upon various input criteria provided by the report's creator. The onus is strictly upon the user of this report to exercise due diligence in interpreting and further representing this data.","-9-"
